what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1415616756912
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1415616756914
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1415616756916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616756983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616780778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616783624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616787549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616791029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616859619
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415616863092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616866861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616877432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616877845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616887535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415616895424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617055107
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415617056357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617058399
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: [Error] hal: <b>hal.linker.exception_stack_memory_region_name</b> ""sdram_0"" is out of range: ""none"", ""reset"", ""onchip_memory""\r\nSEVERE: [Error] hal: <b>hal.linker.exception_stack_memory_region_name</b> ""sdram_0"" is out of range: ""none"", ""reset"", ""onchip_memory""\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1415617061484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617066947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617073100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617096958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617099823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617104232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617107650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617134285
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415617134299
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415617135828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415617141488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617142787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617171316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617172166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617366471
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415617367998
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415617371554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.exit",1415617371765
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1415617371849
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1415617371850
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.209,"com.altera.debug.cdi.gdb.plugin",1415617371850
stopped,bundle,com.altera.sbtgui.launch,14.0.0.209,"com.altera.sbtgui.launch",1415617371850
stopped,bundle,com.altera.sbt4e.launch,14.0.0.209,"com.altera.sbt4e.launch",1415617371850
stopped,bundle,com.altera.sbtgui.ui,14.0.0.209,"com.altera.sbtgui.ui",1415617371851
stopped,bundle,com.altera.sbtgui.project,14.0.0.209,"com.altera.sbtgui.project",1415617371851
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1415617371851
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1415617371851
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1415617371851
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1415617371851
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1415617371852
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1415617371853
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1415617371853
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1415617371854
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1415617371854
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1415617371859
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1415617371860
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1415617371860
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1415617371862
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1415617371862
